715 Broadway Departure ,14th St at Irving Place (EB) ,14th St at 3rd Ave. ,1st Ave. at 17th St. ,1st Ave. at 24th St. ,1st Ave. at 26th St. ,NYU Langone Health ,Lexington Ave. at 31st St. ,Gramercy Green ,3rd Ave. at 17th St. ,14th St at Irving Place (WB) ,715 Broadway Arrival
7:00 AM                ,7:05 AM                      ,7:07 AM             ,7:11 AM              ,7:14 AM              ,7:15 AM              ,7:20 AM            ,7:25 AM                    ,7:30 AM        ,7:32 AM              ,7:34 AM                      ,7:39 AM
8:00 AM                ,8:05 AM                      ,8:07 AM             ,8:11 AM              ,8:14 AM              ,8:15 AM              ,8:20 AM            ,8:25 AM                    ,8:30 AM        ,8:32 AM              ,8:34 AM                      ,8:39 AM
-                      ,-                            ,-                   ,-                    ,-                    ,-                    ,-                  ,-                          ,9:00 AM        ,9:02 AM              ,9:04 AM                      ,9:09 AM
9:00 AM                ,9:05 AM                      ,9:07 AM             ,9:11 AM              ,9:14 AM              ,9:15 AM              ,9:20 AM            ,9:25 AM                    ,9:30 AM        ,9:32 AM              ,9:34 AM                      ,9:39 AM
9:30 AM                ,9:35 AM                      ,9:37 AM             ,9:41 AM              ,9:44 AM              ,9:45 AM              ,9:50 AM            ,9:55 AM                    ,10:00 AM       ,10:02 AM             ,10:04 AM                     ,10:09 AM
10:10 AM               ,10:15 AM                     ,10:17 AM            ,10:21 AM             ,10:24 AM             ,10:25 AM             ,10:30 AM           ,10:35 AM                   ,10:40 AM       ,10:42 AM             ,10:44 AM                     ,10:49 AM
10:35 AM               ,10:40 AM                     ,10:42 AM            ,10:46 AM             ,10:49 AM             ,10:50 AM             ,10:55 AM           ,11:00 AM                   ,11:05 AM       ,11:07 AM             ,11:09 AM                     ,11:14 AM
11:20 AM               ,11:25 AM                     ,11:27 AM            ,11:31 AM             ,11:34 AM             ,11:35 AM             ,11:40 AM           ,11:45 AM                   ,11:50 AM       ,11:52 AM             ,11:54 AM                     ,11:59 AM
11:40 AM               ,11:45 AM                     ,11:47 AM            ,11:51 AM             ,11:54 AM             ,11:55 AM             ,12:00 PM           ,12:05 PM                   ,12:10 PM       ,12:12 PM             ,12:14 PM                     ,12:19 PM
12:30 PM               ,12:35 PM                     ,12:37 PM            ,12:41 PM             ,12:44 PM             ,12:45 PM             ,12:50 PM           ,12:55 PM                   ,1:00 PM        ,1:02 PM              ,1:04 PM                      ,1:09 PM
12:50 PM               ,12:55 PM                     ,12:57 PM            ,1:01 PM              ,1:04 PM              ,1:05 PM              ,1:10 PM            ,1:15 PM                    ,1:20 PM        ,1:22 PM              ,1:24 PM                      ,1:29 PM
1:40 PM                ,1:45 PM                      ,1:47 PM             ,1:51 PM              ,1:54 PM              ,1:55 PM              ,2:00 PM            ,2:05 PM                    ,2:10 PM        ,2:12 PM              ,2:14 PM                      ,2:19 PM
1:50 PM                ,1:55 PM                      ,1:57 PM             ,2:01 PM              ,2:04 PM              ,2:05 PM              ,2:10 PM            ,2:15 PM                    ,2:20 PM        ,2:22 PM              ,2:24 PM                      ,2:29 PM
2:50 PM                ,2:55 PM                      ,2:57 PM             ,3:01 PM              ,3:04 PM              ,3:05 PM              ,3:10 PM            ,3:15 PM                    ,3:20 PM        ,3:22 PM              ,3:24 PM                      ,3:29 PM
3:20 PM                ,3:25 PM                      ,3:27 PM             ,3:31 PM              ,3:34 PM              ,3:35 PM              ,3:40 PM            ,3:45 PM                    ,3:50 PM        ,3:52 PM              ,3:54 PM                      ,3:59 PM
4:00 PM                ,4:05 PM                      ,4:07 PM             ,4:11 PM              ,4:14 PM              ,4:15 PM              ,4:20 PM            ,4:25 PM                    ,4:30 PM        ,4:32 PM              ,4:34 PM                      ,4:39 PM
4:30 PM                ,4:35 PM                      ,4:37 PM             ,4:41 PM              ,4:44 PM              ,4:45 PM              ,4:50 PM            ,4:55 PM                    ,5:00 PM        ,5:02 PM              ,5:04 PM                      ,5:09 PM
5:10 PM                ,5:15 PM                      ,5:17 PM             ,5:21 PM              ,5:24 PM              ,5:25 PM              ,5:30 PM            ,5:35 PM                    ,5:40 PM        ,5:42 PM              ,5:44 PM                      ,5:49 PM
5:40 PM                ,5:45 PM                      ,5:47 PM             ,5:51 PM              ,5:54 PM              ,5:55 PM              ,6:00 PM            ,6:05 PM                    ,6:10 PM        ,6:12 PM              ,6:14 PM                      ,6:19 PM
6:20 PM                ,6:25 PM                      ,6:27 PM             ,6:31 PM              ,6:34 PM              ,6:35 PM              ,6:40 PM            ,6:45 PM                    ,6:50 PM        ,6:52 PM              ,6:54 PM                      ,6:59 PM
6:50 PM                ,6:55 PM                      ,6:57 PM             ,7:01 PM              ,7:04 PM              ,7:05 PM              ,7:10 PM            ,7:15 PM                    ,7:20 PM        ,7:22 PM              ,7:24 PM                      ,7:29 PM
7:20 PM                ,7:25 PM                      ,7:27 PM             ,7:31 PM              ,7:34 PM              ,7:35 PM              ,7:40 PM            ,7:45 PM                    ,7:50 PM        ,7:52 PM              ,7:54 PM                      ,7:59 PM
7:50 AM                ,7:55 AM                      ,7:57 AM             ,8:01 AM              ,8:04 AM              ,8:05 AM              ,8:10 AM            ,8:15 AM                    ,8:20 AM        ,8:22 AM              ,8:24 AM                      ,8:29 AM
8:40 PM                ,8:45 PM                      ,8:47 PM             ,8:51 PM              ,8:54 PM              ,8:55 PM              ,9:00 PM            ,9:05 PM                    ,9:10 PM        ,9:12 PM              ,9:14 PM                      ,9:19 PM
9:30 PM                ,9:35 PM                      ,9:37 PM             ,9:41 PM              ,9:44 PM              ,9:45 PM              ,9:50 PM            ,9:55 PM                    ,10:00 PM       ,10:02 PM             ,10:04 PM                     ,10:09 PM
10:25 PM               ,10:30 PM                     ,10:32 PM            ,10:36 PM             ,10:39 PM             ,10:40 PM             ,10:45 PM           ,10:50 PM                   ,10:55 PM       ,10:57 PM             ,10:59 PM                     ,11:04 PM
11:20 PM               ,11:25 PM                     ,11:27 PM            ,11:31 PM             ,11:34 PM             ,11:35 PM             ,11:40 PM           ,11:45 PM                   ,11:50 PM       ,                     ,                             ,