715 Broadway Departure,Broadway & Broome St.,80 Lafayette,"Metrotech Roadway
Drop Off Only","Metro Tech Way
(Drop Off Only)","6 MetroTech
Arrival","6 MetroTech
Departure",Cadman Plaza & Clark St.,Cleveland & Spring St.,715 Broadway Arrival
-,-,-,,,-,7:25 AM,-,7:39 AM,7:45 AM
7:25 AM,7:29 AM,7:35 AM,7:44 AM,D/O,7:47 AM,7:55 AM,-,8:09 AM,8:15 AM
7:55 AM,7:59 AM,8:05 AM,8:14 AM,D/O,8:17 AM,8:25 AM,-,8:39 AM,8:45 AM
8:25 AM,8:29 AM,8:35 AM,8:44 AM,D/O,8:47 AM,8:55 AM,-,9:09 AM,9:15 AM
8:55 AM,8:59 AM,9:05 AM,9:14 AM,D/O,9:17 AM,9:25 AM,-,9:39 AM,9:45 AM
9:25 AM,9:29 AM,9:35 AM,9:44 AM,D/O,9:47 AM,9:55 AM,-,10:09 AM,10:15 AM
9:55 AM,9:59 AM,10:05 AM,10:14 AM,D/O,10:17 AM,10:30 AM,-,10:44 AM,10:50 AM
10:30 AM,10:34 AM,10:40 AM,10:49 AM,D/O,10:52 AM,11:05 AM,-,11:19 AM,11:25 AM
11:05 AM,11:09 AM,11:15 AM,11:24 AM,D/O,11:27 AM,11:40 AM,-,11:54 AM,12:00 PM
11:40 AM,11:44 AM,11:50 AM,11:59 AM,D/O,12:02 PM,12:10 PM,-,12:24 PM,12:30 PM
12:10 PM,12:14 PM,12:20 PM,12:29 PM,D/O,12:32 PM,12:45 PM,-,12:59 PM,1:05 PM
12:45 PM,12:49 PM,12:55 PM,1:04 PM,D/O,1:07 PM,1:15 PM,-,1:29 PM,1:35 PM
1:15 PM,1:19 PM,1:25 PM,1:34 PM,D/O,1:37 PM,1:55 PM,-,2:09 PM,2:15 PM
1:55 PM,1:59 PM,2:05 PM,2:14 PM,D/O,2:17 PM,2:25 PM,-,2:39 PM,2:45 PM
2:25 PM,2:29 PM,2:35 PM,2:44 PM,D/O,2:47 PM,3:05 PM,-,3:19 PM,3:25 PM
3:05 PM,3:09 PM,3:15 PM,3:24 PM,D/O,3:27 PM,3:45 PM,-,3:59 PM,4:05 PM
3:45 PM,3:49 PM,3:55 PM,4:04 PM,D/O,4:07 PM,4:25 PM,-,4:39 PM,4:45 PM
4:25 PM,4:29 PM,4:35 PM,4:44 PM,D/O,4:47 PM,5:05 PM,-,5:19 PM,5:25 PM
5:05 PM,5:09 PM,5:15 PM,5:24 PM,D/O,5:27 PM,5:45 PM,-,5:59 PM,6:05 PM
5:45 PM,5:49 PM,5:55 PM,6:04 PM,D/O,6:07 PM,6:20 PM,-,6:34 PM,6:40 PM
6:20 PM,6:24 PM,6:30 PM,6:39 PM,D/O,6:42 PM,6:50 PM,6:55 PM,7:09 PM,7:15 PM
7:20 PM,7:24 PM,7:30 PM,,D/O,7:42 PM,-,-,-,-
8:05 PM,8:09 PM,8:15 PM,8:24 PM,D/O,8:27 PM,8:40 PM,8:45 PM,8:59 PM,9:05 PM
9:15 PM,9:19 PM,9:25 PM,9:34 PM,D/O,9:37 PM,9:40 PM,9:45 PM,9:59 PM,10:05 PM
10:10 PM,10:14 PM,10:20 PM,10:29 PM,D/O,10:32 PM,10:45 PM,10:48 PM,11:03 PM,11:08 PM
11:20 PM,11:24 PM,11:30 PM,11:36 PM,D/O,11:39 PM,,,,