715 Broadway Departure,Broadway & Broome St.,80 Lafayette,Cleveland Pl & Spring St.,Lafayette & E 4th St.,Greenwich Hall,715 Broadway Arrival
-,-,7:35 AM,7:47 AM,7:50 AM,-,7:52 AM
-,-,8:10 AM,8:22 AM,8:25 AM,-,8:27 AM
-,-,8:40 AM,8:52 AM,8:55 AM,-,8:57 AM
-,-,9:00 AM,9:12 AM,9:15 AM,-,9:17 AM
-,-,9:15 AM,9:27 AM,9:30 AM,-,9:32 AM
-,-,9:30 AM,9:42 AM,9:45 AM,-,9:47 AM
-,-,9:45 AM,9:57 AM,10:00 AM,-,10:02 AM
-,-,10:00 AM,10:12 AM,10:15 AM,-,10:17 AM
-,-,10:20 AM,10:32 AM,10:35 AM,-,10:37 AM
-,-,10:40 AM,10:52 AM,10:55 AM,-,10:57 AM
-,-,11:00 AM,11:12 AM,11:15 AM,-,11:17 AM
11:20 AM,11:24 AM,11:30 AM,11:42 AM,11:45 AM,-,11:47 AM
11:40 AM,11:44 AM,11:50 AM,12:02 PM,12:05 PM,-,12:07 PM
12:00 PM,12:04 PM,12:10 PM,12:22 PM,12:25 PM,-,12:27 PM
12:40 PM,12:44 PM,12:50 PM,1:02 PM,1:05 PM,-,1:07 PM
1:20 PM,1:24 PM,1:30 PM,1:42 PM,1:45 PM,-,1:47 PM
2:00 PM,2:04 PM,2:10 PM,2:22 PM,2:25 PM,-,2:27 PM
2:20 PM,2:24 PM,2:30 PM,2:42 PM,2:45 PM,-,2:47 PM
3:00 PM,3:04 PM,3:10 PM,3:22 PM,3:25 PM,-,3:27 PM
3:20 PM,3:24 PM,3:30 PM,3:42 PM,3:45 PM,-,3:47 PM
3:40 PM,3:44 PM,3:50 PM,4:02 PM,4:05 PM,-,4:07 PM
4:00 PM,4:04 PM,4:10 PM,4:22 PM,4:25 PM,-,4:27 PM
4:40 PM,4:44 PM,4:50 PM,5:02 PM,5:05 PM,-,5:07 PM
5:00 PM,5:04 PM,5:10 PM,5:22 PM,5:25 PM,-,5:27 PM
5:20 PM,5:24 PM,5:30 PM,5:42 PM,5:45 PM,-,5:47 PM
5:40 PM,5:44 PM,5:50 PM,6:02 PM,6:05 PM,-,6:07 PM
6:00 PM,6:04 PM,6:10 PM,6:22 PM,6:25 PM,-,6:27 PM
6:35 PM,6:39 PM,6:45 PM,6:57 PM,7:00 PM,-,7:02 PM
7:20 PM,7:24 PM,7:30 PM,7:42 PM,7:45 PM,-,7:47 PM
7:45 PM,7:49 PM,7:55 PM,8:07 PM,8:10 PM,-,8:12 PM
8:05 PM,8:09 PM,8:15 PM,8:27 PM,8:30 PM,-,8:32 PM
8:25 PM,8:29 PM,8:35 PM,8:47 PM,8:50 PM,-,8:52 PM
8:45 PM,8:49 PM,8:55 PM,9:07 PM,9:10 PM,-,9:12 PM
9:05 PM,9:09 PM,9:15 PM,-,-,9:25 PM,9:35 PM
9:25 PM,9:29 PM,9:35 PM,9:47 PM,9:50 PM,-,9:52 PM
9:50 PM,9:54 PM,10:00 PM,10:12 PM,10:15 PM,-,10:17 PM
10:05 PM,10:09 PM,10:15 PM,10:27 PM,10:30 PM,-,10:32 PM
10:30 PM,10:34 PM,10:40 PM,-,-,10:50 PM,11:00 PM
10:45 PM,10:49 PM,10:55 PM,11:07 PM,11:10 PM,-,11:12 PM
11:20 PM,11:24 PM,11:30 PM,,,,