A,B,C,E,F,G,W
715 Broadway,715 Broadway,20th St & Loop Exit,715 Broadway,715 Broadway,715 Broadway,715 Broadway
Broadway & Broome St.,Broadway & Broome St.,Ave C & 18th St.,14th St. at Irving Place (EB),3rd Ave. at 11th St. (NB),Morton & Greenwich,Broadway & Broome St.
80 Lafayette,80 Lafayette,Ave. C & 16th St.,14th St at 3rd Ave.,3rd Ave. at 14th St.,,80 Lafayette
6 MetroTech,Cleveland Pl & Spring St.,Ave. C & 14th St.,1st Ave. at 17th St.,3rd Ave. at 17th St.,,Cleveland Pl & Spring St.
Cadman Plaza & Clark St.,Lafayette & E 4th St.,14th St. & Ave. B,1st Ave. at 24th St.,Opposite Gramercy Green,,Lafayette & E 4th St.
Cleveland & Spring St.,Greenwich Hall,14th St. & Ave. A,1st Ave. at 26th St.,3rd Ave. at 30th St.,,14th St. at Irving Place (EB)
,,14th St. & 1st Ave.,NYU Langone Health,Lexington Ave. at 31st St.,,14th St. at 3rd Ave.
,,3rd Ave. & 13th St.,Lexington Ave. at 31st St.,Gramercy Green,,1St. Ave. at 17th St.
,,715 Broadway,Gramercy Green,3rd Ave. at 17th St.,,1St. Ave. at 24th St.
,,,3rd Ave. at 17th St.,3rd Ave. at 13th St.,,1St. Ave. at 26th St.
,,,14th St. at Irving Place (WB),3rd Ave. at 11th St. (SB),,NYU Langone Health
,,,,,,Lexington Ave. at 31 St.
,,,,,,Gramercy Green
,,,,,,3rd Ave. at 17th St.
,,,,,,14th St. at Irving Place (WB)